rally,serve,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player,id,train,outcome,gender
10,2,B,34.8406708,1.124797814,1.921428645,1.215756228,FALSE,TRUE,0.931867995,13.9198,0.7138,13.4278,1.5052,34.04541803,0.412172732,3.653113041,3.263541844,12.9714,2.9962,FALSE,B,0.453705386,FALSE,2138,1,UE,womens
3,1,F,35.93890053,0.392110612,0.343956007,2.923958652,FALSE,FALSE,2.029794334,11.3338,2.9814,11.6236,0.9724,22.16697951,1.37252681,1.785213779,3.842694266,12.1918,4.9002,FALSE,F,0.694138027,TRUE,2452,1,W,womens
7,1,B,33.23718245,-0.112516389,2.288984062,8.006326647,FALSE,FALSE,4.399884226,13.6304,2.7824,12.8986,1.5562,25.75213901,1.82940848,0.479703587,2.220603634,14.7842,3.1668,FALSE,F,0.712464191,TRUE,5349,1,UE,womens
10,2,F,27.41458348,0.642207745,1.716276577,5.391890016,TRUE,FALSE,2.329063692,14.5288,3.002,14.345,0.6802,36.47480528,0.869876412,1.032282181,1.035592744,13.4426,2.746,FALSE,F,0.427701328,FALSE,2042,1,UE,womens
5,1,F,21.94306484,1.171983474,1.014307255,0.178186404,FALSE,FALSE,3.213708263,6.398,0.9294,8.3868,1.595,34.27690767,1.476938334,2.59816068,5.765809598,15.592,2.1404,TRUE,V,0.569700685,TRUE,3300,1,W,womens
6,1,F,37.80156493,0.321958548,1.652876068,6.106703076,FALSE,FALSE,3.757195108,7.5854,0.6908,10.3912,1.808,19.5837337,3.664376689,2.552611748,4.724830429,13.6164,3.0344,FALSE,V,1.005867244,FALSE,1937,1,W,womens
5,2,B,33.19570013,1.026748121,2.077527554,1.089933835,FALSE,TRUE,2.195238721,13.6416,3.1794,12.4614,1.3284,35.21811469,1.086095826,1.281041573,2.252223102,15.5784,3.3262,FALSE,B,0.55211359,TRUE,1577,1,UE,womens
3,1,F,34.66886431,0.726686273,0.173245978,2.471868033,FALSE,FALSE,1.443282509,12.6318,0.0868,11.4336,0.7178,26.12308962,0.919857428,2.32013159,4.148422067,12.3722,3.7816,FALSE,B,0.547805358,TRUE,2987,1,W,womens
4,2,B,31.46060437,-0.07280067,0.799912991,6.45177706,FALSE,FALSE,3.941829976,13.3554,1.5152,12.3574,2.2982,35.71873755,0.167984878,2.543851236,4.405133691,12.6258,0.4676,TRUE,B,0.399809953,FALSE,11,1,UE,womens
13,2,U,17.63567133,1.1021487,1.603411918,6.058869175,FALSE,FALSE,0.752050663,4.0682,0.2342,4.4786,0.396,18.60910996,1.601277746,3.599524026,8.167217585,8.5356,3.639,FALSE,V,0.53518415,TRUE,3305,1,W,womens
4,2,F,33.69677096,0.665015814,0.241839408,0.383419664,TRUE,FALSE,1.871930821,12.5138,0.0346,12.3552,1.8998,31.58249664,0.259693856,2.879226078,4.393820861,12.939,1.4792,FALSE,B,0.477015391,FALSE,747,1,UE,womens
7,2,U,10.02057083,-0.947000049,0.081489715,7.492671609,FALSE,FALSE,8.358449928,3.4286,2.8884,11.5744,1.015,15.61279839,2.028186209,1.56079666,7.843984829,14.2958,2.1574,TRUE,U,1.386702665,TRUE,3157,1,W,womens
7,1,B,30.54913853,-0.281378721,2.087461346,8.540967828,FALSE,FALSE,3.235883063,13.2686,3.7098,13.3114,0.4742,32.03377222,0.89060885,1.005447212,3.552283761,13.9998,3.0826,FALSE,B,0.533453541,TRUE,4856,1,UE,womens
8,1,F,36.31176468,1.169911173,0.259826669,0.431317404,FALSE,TRUE,0.823679404,13.7272,2.2372,13.3602,1.4998,27.77555093,0.935529895,3.662962756,4.121337798,13.6374,0.6904,FALSE,B,0.582195369,FALSE,5458,1,UE,womens
3,2,F,18.48167131,0.641531818,0.42963566,8.510545171,TRUE,FALSE,0.907529856,13.1248,2.3194,12.4258,1.7406,35.11451457,0.67402917,1.884814347,2.732363599,11.6426,3.5816,FALSE,F,0.382812812,TRUE,1865,1,UE,womens
12,1,B,30.37649591,0.929840282,0.503535881,4.528229487,FALSE,FALSE,2.408241657,15.8676,2.402,15.4884,0.0238,38.18723998,0.76593357,1.543362914,1.260108258,12.9134,0.2524,FALSE,F,0.379058573,FALSE,5048,1,W,womens
6,1,U,18.52128849,-0.606184883,2.809498304,10.08842301,FALSE,FALSE,6.291657184,8.4974,1.4132,13.8408,1.9084,14.15225943,0.099482473,2.381718904,7.889982456,7.5948,0.578,FALSE,B,0.567903728,FALSE,1046,1,FE,womens
5,1,F,33.87727378,0.662161194,0.435019393,2.223063482,FALSE,FALSE,1.409664088,12.4518,0.678,12.8328,0.6792,27.85706256,0.405227019,2.438631823,4.680899212,12.8066,0.0132,TRUE,B,0.5379301,TRUE,5318,1,W,womens
6,2,B,34.21067324,0.68911378,1.48100708,2.251124102,TRUE,FALSE,0.388523616,13.8772,1.0226,14.1024,0.706,32.01359093,0.74099628,2.237953444,3.641623693,14.2216,0.66,TRUE,F,0.531155863,FALSE,4313,1,UE,womens
7,2,F,27.13251764,0.476527372,2.516415118,6.95017877,FALSE,FALSE,2.527539515,4.7196,1.5632,5.8664,0.6892,22.15071655,1.967476741,1.266042556,3.698502244,15.13,2.3718,FALSE,V,0.958439047,TRUE,3188,1,W,womens
3,2,F,29.50328047,-0.299105495,2.649996613,8.507027226,FALSE,FALSE,1.687147391,13.855,1.5658,12.3276,0.8492,33.83786948,0.773690737,2.577840142,1.401752026,12.3008,4.1148,FALSE,B,0.41555672,TRUE,5709,1,UE,womens
6,1,B,37.28451545,1.088296896,0.219328493,3.112686257,TRUE,TRUE,2.102163048,12.2696,3.1192,13.2438,1.2564,28.5285789,0.530644962,2.012435222,5.144111238,12.7734,3.6554,FALSE,B,0.544690783,FALSE,4905,1,UE,womens
7,1,F,32.81548551,0.075187923,0.529163957,6.090191697,FALSE,FALSE,1.617585621,13.8562,2.1434,13.6822,0.5352,21.86993944,1.208667888,1.136781216,0.905077935,10.6816,1.4492,TRUE,B,0.557869193,TRUE,2973,1,W,womens
12,1,F,36.42636238,-0.071331065,1.587357891,6.631854013,FALSE,FALSE,0.473355511,12.2862,0.7,12.675,0.43,30.53022695,0.907609637,3.488555406,4.248640742,15.6384,3.1344,FALSE,F,0.623330029,FALSE,1962,1,UE,womens
4,2,F,34.02635228,1.211635585,1.968513747,4.131758105,FALSE,FALSE,3.890727048,12.9094,1.7882,11.3858,1.7918,28.96120263,0.39392005,0.753843485,4.717261546,13.1206,4.4708,FALSE,B,0.535731355,FALSE,3765,1,W,womens
6,1,B,30.52409299,1.43585157,2.707618259,1.126557725,FALSE,TRUE,2.788033034,13.1012,3.835,14.5136,1.4312,31.54359765,0.293011628,1.455451619,5.28180188,12.2534,1.8792,FALSE,B,0.447324985,FALSE,3490,1,UE,womens
3,1,F,12.67706175,-0.298128094,0.56068771,9.970178218,FALSE,FALSE,4.483011617,7.1926,2.6154,11.3872,1.0334,17.72072073,0.580094083,2.663714673,7.955510552,13.4574,1.8906,FALSE,F,0.950611827,TRUE,5823,1,UE,womens
4,1,V,23.19221817,2.640804484,0.398314197,0.06731843,FALSE,FALSE,2.694599703,16.3052,2.6102,14.4162,0.6886,38.08301361,0.68627803,0.796803659,0.917875839,11.9322,0.2382,TRUE,F,0.336965246,FALSE,5000,1,UE,womens
6,1,F,11.8071407,-0.946999972,2.390409136,0.68281684,FALSE,TRUE,0.582438254,15.3224,1.484,15.2158,2.0566,20.60811149,2.413406962,1.447621316,1.00397964,6.6576,1.064,FALSE,V,0.259145305,FALSE,1067,1,FE,womens
5,2,B,13.76141953,0.104394973,1.658873444,8.681815166,FALSE,FALSE,5.90719438,9.0026,1.6752,12.0038,3.4128,18.39390591,1.133887171,1.783144096,5.257175248,12.8924,2.8738,FALSE,F,0.840635241,TRUE,2781,1,W,womens
5,2,B,36.39199337,0.545834588,0.430733222,1.643068821,FALSE,FALSE,1.990753204,13.3246,2.697,12.984,0.7356,34.55651995,0.864680671,1.416596692,3.499673685,16.3292,0.789,FALSE,B,0.578706471,TRUE,1700,1,W,womens
4,2,B,32.88551738,-0.42164157,0.919847016,8.764431078,FALSE,FALSE,5.772668991,13.9498,3.3018,11.894,2.0924,29.15245206,0.924724343,0.873947999,2.291669659,12.6558,0.3546,TRUE,B,0.509297296,FALSE,1532,1,FE,womens
3,1,B,33.55378187,-0.164372978,1.133122553,6.796019411,FALSE,FALSE,1.765317875,12.2956,0.71,11.2864,0.7384,29.14988402,0.590020051,2.439901026,3.743167591,12.8256,3.4612,FALSE,B,0.514521188,TRUE,3183,1,UE,womens
7,1,V,24.36090039,2.916608917,2.881944833,2.553066937,FALSE,FALSE,1.41344828,9.8882,0.7884,11.1382,0.1286,43.80783141,0.491435018,1.234170552,3.292827843,16.244,0.1686,FALSE,U,0.449042151,TRUE,1413,1,UE,womens
4,1,B,23.45191845,4.594809487,1.224997262,1.17002071,FALSE,FALSE,4.918257419,14.6692,2.3022,13.1694,2.3818,27.0677277,0.319889551,1.245609353,4.237962961,9.6524,0.4586,FALSE,U,0.38406158,FALSE,946,1,FE,womens
3,1,F,27.73448817,-0.177149941,1.119049978,7.231296886,FALSE,FALSE,0.513534965,11.6804,1.233,11.2358,1.49,34.73684069,0.411454161,2.837437307,3.329681988,12.2218,4.6634,FALSE,F,0.400915719,TRUE,425,1,FE,womens
5,1,F,37.4001055,0.289627709,0.725161792,2.714911625,FALSE,FALSE,6.464233443,10.4926,3.2258,12.402,2.95,20.97128807,0.920676353,1.109694703,7.064678514,13.841,0.9514,TRUE,F,0.817186954,TRUE,866,1,W,womens
5,1,U,39.35061262,0.155201718,2.211229281,7.791964504,FALSE,FALSE,4.39007989,7.1802,1.1762,6.239,3.1118,22.36140147,1.967557233,3.279744526,2.610619176,15.2374,0.33,TRUE,V,0.3276941,TRUE,5725,1,W,womens
3,2,F,35.52337305,0.620289087,0.526991528,2.072312448,FALSE,FALSE,0.598939129,12.737,0.8144,12.1572,0.9646,32.77295049,0.215500567,3.216827929,5.187029816,12.839,3.617,FALSE,B,0.446250562,TRUE,3046,1,W,womens
4,2,F,41.27360308,0.071630603,1.188434308,5.714951281,FALSE,FALSE,3.811278237,9.0536,0.3364,10.8364,3.705,20.64261462,3.801371797,3.403756866,3.034361822,14.0818,2.4468,FALSE,V,0.918608608,FALSE,873,1,W,womens
5,1,B,31.5966646,0.401070597,1.561876722,3.896302858,FALSE,FALSE,7.061713268,7.0806,5.2382,12.8918,1.226,16.99071332,1.049196131,0.370822322,9.024923689,12.9548,4.1416,FALSE,B,1.141106912,TRUE,4631,1,W,womens
6,2,B,34.90946525,0.477989998,0.020837463,2.577448648,FALSE,FALSE,0.203562275,13.7866,1.3324,13.679,1.1596,33.25363712,0.697404852,2.871950709,3.392964427,13.7638,1.947,FALSE,B,0.490848748,FALSE,2798,1,W,womens
13,1,F,29.37168359,0.174759309,1.690727036,5.215141251,FALSE,FALSE,8.062207412,6.8892,0.4596,14.9286,0.1464,12.52733808,1.355200779,3.846125927,7.256893736,7.8642,0.6006,FALSE,F,0.846835147,TRUE,5190,1,W,womens
3,1,B,37.51668962,0.535274952,0.705366723,0.342195649,FALSE,FALSE,0.946023023,12.2722,0.726,11.3262,0.7194,27.06533955,0.61718363,2.791742817,4.71691142,12.4038,4.276,FALSE,F,0.543032013,TRUE,2228,1,W,womens
7,1,B,14.25062544,1.177524158,1.601735636,4.438370034,FALSE,FALSE,0.547320235,5.148,0.7966,5.113,0.2504,28.62062069,1.516023488,4.09533637,6.949169277,14.869,3.162,TRUE,V,0.632620166,TRUE,4553,1,W,womens
4,1,F,22.90841427,-0.020850115,0.478585895,8.812811729,FALSE,FALSE,1.193907367,15.0376,2.139,14.157,1.3328,39.26449144,0.205553012,2.469804145,4.555438358,12.2006,1.5578,FALSE,F,0.33713914,FALSE,2498,1,UE,womens
5,2,F,37.08098088,0.235712378,0.728679477,4.217829849,FALSE,FALSE,0.686510597,12.6852,0.739,12.1116,1.1162,25.68455125,1.427427018,3.627545998,2.341825449,14.794,2.397,FALSE,B,0.682016419,TRUE,1432,1,W,womens
8,1,F,22.05711895,0.346722157,0.598800444,2.317012555,TRUE,FALSE,5.768882623,5.3762,1.7574,10.5398,0.815,8.4780921,0.877176377,1.842602802,7.969548421,3.5462,0.2,TRUE,B,0.445474758,FALSE,5389,1,W,womens
7,2,F,38.90022226,0.206540513,0.691360323,4.234856117,FALSE,FALSE,1.883179482,13.621,2.239,13.0874,0.433,30.14209748,0.952154374,3.376724533,3.033178183,14.1316,1.1332,FALSE,B,0.544542123,TRUE,5493,1,W,womens
5,2,F,34.23141831,-0.081158149,2.520066729,7.137454378,FALSE,FALSE,1.204744255,13.5942,0.6606,14.1788,0.3928,32.02392067,0.626295424,3.223888312,3.969021706,13.7662,0.7638,TRUE,F,0.510899938,TRUE,3700,1,UE,womens
7,1,U,27.72135165,0.483861743,0.050090716,4.118796639,FALSE,FALSE,2.65127647,3.672,1.1768,3.4986,1.4688,17.39839409,1.978871494,2.360371826,8.43750987,12.6342,1.3964,TRUE,V,1.005119736,TRUE,1965,1,UE,womens
6,1,F,31.18389274,0.819478512,3.535951945,3.7543456,FALSE,FALSE,2.274551472,13.8872,2.9304,13.793,0.6578,33.49774251,0.792257451,3.033560949,3.100133368,14.896,1.9634,FALSE,B,0.518049301,FALSE,762,1,UE,womens
4,2,B,30.08188938,0.359119185,3.045076146,6.258524636,FALSE,FALSE,2.08631733,15.1742,1.6238,13.7358,0.1126,33.6298373,1.177990786,2.13279432,0.75520425,13.7318,0.3788,FALSE,F,0.470608213,FALSE,1984,1,UE,womens
10,1,B,34.85320249,0.454727454,0.469515214,3.011930226,FALSE,FALSE,0.356884743,13.1082,1.7932,12.8926,1.5088,30.81267094,0.661004353,2.454980396,3.936750855,13.6658,0.8682,FALSE,B,0.521733245,FALSE,2514,1,W,womens
7,1,F,34.28572999,1.363556709,0.554360102,0.231194155,FALSE,TRUE,3.01186242,15.63,1.8808,14.417,0.876,34.57160934,0.674181174,1.265304638,3.18603316,14.2036,2.6428,FALSE,B,0.47718671,TRUE,5428,1,UE,womens
8,1,F,36.6016091,0.376377671,0.692675906,1.965462418,FALSE,FALSE,1.973773614,10.6466,0.7106,12.4598,1.4904,22.93907493,0.667675793,3.916717959,4.871909636,15.0294,2.5092,TRUE,F,0.77698734,FALSE,49,1,W,womens
7,1,F,31.69871864,-0.269240192,1.267630455,8.778228403,FALSE,FALSE,2.256946202,14.5446,1.7608,13.8116,0.3738,36.88437196,0.321689136,2.129042296,5.143186323,13.5678,1.1858,FALSE,F,0.420359891,TRUE,3043,1,UE,womens
11,1,F,33.6482725,1.55343865,1.812834363,1.45157123,FALSE,TRUE,0.455273544,15.3354,4.2084,15.4976,3.783,34.09093644,0.837772973,0.476091387,1.750191383,12.055,2.3554,FALSE,F,0.407574677,TRUE,2000,1,FE,womens
4,2,F,34.8584707,0.422991997,0.176237051,3.489994594,TRUE,FALSE,0.961562478,10.5792,2.5818,11.364,2.0262,20.85817328,0.845713345,3.18288089,4.873765516,12.2766,1.2566,FALSE,B,0.699639672,FALSE,3959,1,UE,womens
8,1,U,26.76925959,0.471828485,0.654966914,3.67206705,FALSE,FALSE,3.874946508,9.0264,3.155,12.4154,1.2762,11.52525445,1.411147833,0.623645346,4.812932399,4.6486,0.746,TRUE,F,0.489002006,FALSE,549,1,W,womens
5,1,F,34.69155846,1.373996289,2.806313365,1.133750545,FALSE,TRUE,0.886600451,13.0268,0.1078,12.6224,0.8968,29.1584506,0.619715683,3.036785619,3.802350105,14.4712,2.0044,FALSE,B,0.572230205,TRUE,2782,1,UE,womens
8,1,B,28.45216867,0.577829559,2.091263979,0.665038964,FALSE,TRUE,2.683810314,13.7836,2.9318,13.243,0.303,32.16963993,0.427025268,0.765390878,4.863298499,14.3916,0.4736,TRUE,F,0.530042309,FALSE,5548,1,UE,womens
7,1,F,17.36628702,1.644329044,7.569756649,9.135948547,TRUE,FALSE,4.155417924,11.7006,0.798,14.7922,1.9786,18.32807896,0.209351561,2.395345928,0.990017054,4.474,0.0036,TRUE,B,0.231349241,TRUE,1953,1,FE,womens
7,1,F,35.58296379,-0.29140044,0.651629467,7.584037517,FALSE,FALSE,5.592969934,14.6306,3.4948,14.5378,2.0974,29.89662136,0.491550977,1.869602144,4.867328112,10.375,2.2108,TRUE,F,0.392260667,TRUE,4578,1,FE,womens
7,2,B,31.36793614,1.757349101,1.110218133,1.04140052,FALSE,TRUE,3.181033895,14.7214,3.0226,14.8294,0.1566,36.55195534,0.410737877,1.555351035,3.689337838,12.8578,1.3882,TRUE,F,0.403312486,TRUE,1060,1,UE,womens
11,1,F,32.86766936,0.158206621,1.962097481,6.320725401,FALSE,FALSE,1.012051876,15.186,0.7458,15.1282,0.2646,37.78084325,0.175109062,2.112646654,4.766741147,9.7896,2.9402,FALSE,F,0.276773008,TRUE,1446,1,W,womens
6,1,F,30.01985906,-0.233191457,1.594974202,8.031792202,FALSE,FALSE,1.696152941,12.9548,1.6254,12.9894,0.0704,34.6178983,1.05900462,2.252627149,1.586510578,15.0214,3.086,TRUE,F,0.516014485,FALSE,2521,1,UE,womens
5,2,F,36.003683,0.157749499,0.272584611,4.248864459,TRUE,FALSE,0.789875383,12.5162,1.0022,12.6316,0.2208,34.23881373,0.62444205,3.129297473,3.677022227,14.0772,3.1148,FALSE,F,0.495722393,TRUE,1674,1,UE,womens
9,2,B,29.51447609,0.648202428,0.005734214,2.872612219,FALSE,FALSE,2.476016559,10.4682,0.1102,12.5152,1.5032,26.96499049,0.295880361,2.241783375,6.064551539,13.8986,5.2676,FALSE,F,0.621068534,TRUE,3010,1,W,womens
4,1,B,7.370101774,-0.94699995,3.179432762,7.003884595,FALSE,FALSE,0.6628051,15.0144,1.3822,15.6772,1.3796,40.39712244,0.330483805,3.859747123,3.297895702,7.7938,3.0728,FALSE,F,0.314064026,FALSE,5926,1,W,womens
9,1,B,18.68398501,-0.112629066,1.517223825,9.131689236,FALSE,FALSE,0.371639234,13.4784,0.9234,13.85,0.9288,30.34324045,0.868125791,2.581067977,2.897294417,13.4026,0.7306,FALSE,F,0.519788895,TRUE,3870,1,UE,womens
4,2,U,29.54283187,-0.186056787,2.693884279,9.072123865,FALSE,FALSE,2.470177233,15.06,1.8674,14.5316,0.5456,34.61887417,0.40504121,0.675701322,3.990355053,12.4112,1.8668,FALSE,F,0.397636748,FALSE,4597,1,FE,womens
4,1,B,33.38087239,1.597296655,3.438359826,2.663820205,FALSE,TRUE,4.86071482,14.0924,1.9736,12.3214,2.553,31.44681743,0.653274237,1.201336299,2.169625821,12.4258,3.4128,FALSE,F,0.441338379,FALSE,2895,1,UE,womens
5,2,B,23.4717313,3.227936879,0.973601542,1.911650026,FALSE,FALSE,1.565890737,14.6272,2.8986,14.6664,1.3332,36.96521726,0.556340855,1.219219363,1.743354826,10.1702,2.9076,FALSE,F,0.316375767,TRUE,3083,1,UE,womens
5,2,F,29.78023197,-0.079825733,3.341018402,8.159620651,FALSE,FALSE,3.852293914,14.777,1.8692,13.6256,1.807,33.40515181,0.439460957,1.07894632,3.037117476,11.9532,2.4946,FALSE,B,0.389544538,TRUE,3913,1,FE,womens
10,1,B,19.53589856,-0.113786226,0.729765145,5.327976116,FALSE,FALSE,3.109271156,5.6064,1.4154,8.715,1.48,23.48895311,1.092229636,2.208744111,6.835277686,15.3078,2.3172,FALSE,V,0.805954065,FALSE,4406,1,UE,womens
4,1,F,35.44030293,0.10199449,0.900079699,6.05208934,FALSE,FALSE,0.78896806,12.954,1.6516,12.5208,2.311,28.13741645,0.599707781,3.94277859,4.282187269,13.4852,2.5822,FALSE,B,0.556207803,FALSE,1628,1,W,womens
5,1,F,28.77586412,-0.220364522,3.719878412,8.690758405,FALSE,FALSE,0.825359001,13.623,2.0448,14.0452,1.3356,35.44095409,0.159425643,2.901190166,5.878026618,13.581,2.1796,FALSE,F,0.449368129,TRUE,4195,1,UE,womens
4,1,F,36.13344724,-0.077738489,0.980384688,8.052257091,FALSE,FALSE,3.619951038,13.6136,2.7626,12.809,0.7668,26.72123715,1.178437478,2.123053389,3.933598636,14.5352,1.6846,FALSE,F,0.649431627,FALSE,1894,1,UE,womens
8,2,F,31.83761854,0.334084788,0.236563424,3.1184721,TRUE,FALSE,1.801701296,12.4362,0.0338,13.7742,1.2404,22.07187515,0.176069067,3.689281068,4.36345961,6.8218,0.2458,TRUE,B,0.309445971,FALSE,4776,1,FE,womens
5,2,U,35.40086061,0.495774961,0.583762715,2.101388219,TRUE,FALSE,0.590032982,12.6916,1.2212,12.669,0.6316,30.11487449,0.564039883,2.10116694,4.910073915,14.449,1.1154,TRUE,F,0.566301536,TRUE,3360,1,UE,womens
9,2,B,15.68135525,0.232049514,1.360774677,8.98414383,FALSE,FALSE,0.94391292,12.2598,1.6174,12.8144,0.8536,31.74020605,0.525366722,2.930941801,4.416849409,13.9196,3.052,FALSE,B,0.527469315,TRUE,5437,1,W,womens
9,2,B,36.33960445,0.524000779,0.673695522,0.284628454,FALSE,FALSE,0.66874288,12.6936,1.3466,13.3534,1.2376,33.46236547,0.581719648,2.842768709,3.377879893,14.0454,2.4634,FALSE,B,0.494113801,TRUE,1458,1,W,womens
6,2,B,31.18285385,-0.295710937,3.10210082,8.842648669,FALSE,FALSE,0.91966533,12.579,0.7122,13.4966,0.7738,29.1709671,0.280557271,2.410498031,6.663015338,14.9774,1.3952,TRUE,F,0.6060077,FALSE,5814,1,UE,womens
10,1,F,33.72046692,0.008463924,1.556591582,6.725775379,FALSE,FALSE,4.409237707,10.1674,2.6112,12.3774,1.2042,19.94212834,0.560460753,0.999353671,5.294160875,12.7998,3.4572,FALSE,B,0.761095796,FALSE,2151,1,UE,womens
8,2,F,39.35301365,0.378990044,1.267615238,0.996613405,FALSE,FALSE,2.401886342,10.9382,1.1944,13.008,0.0242,21.763041,1.449102766,2.761652108,3.675721868,14.2166,2.7952,TRUE,F,0.8459985,FALSE,5417,1,W,womens
8,1,F,36.97999972,-0.066157341,0.487060085,6.36308814,TRUE,FALSE,2.277578828,12.6582,1.3556,12.5586,0.9198,29.76085497,0.393926327,2.783301954,6.159269586,14.7094,0.365,TRUE,F,0.585199516,FALSE,1052,1,UE,womens
8,1,B,24.3664507,2.408387358,0.084886822,1.705757676,TRUE,TRUE,2.593763736,14.3748,2.8372,13.6002,0.3618,30.80776506,0.375118549,0.945026634,4.490126911,12.8402,0.5734,FALSE,F,0.479489976,FALSE,1549,1,UE,womens
6,2,B,27.44038594,0.290319184,0.920439166,5.017612395,FALSE,FALSE,5.502375825,13.2474,3.5228,15.7518,1.3766,22.58390549,0.657792207,2.536634093,5.774714419,4.3894,2.5442,TRUE,F,0.204270958,FALSE,1143,1,W,womens
3,2,F,25.22653792,-0.47495479,2.528988019,10.20337575,FALSE,FALSE,1.737432048,13.0856,1.805,11.6672,0.8016,30.47574959,1.16488736,1.977167649,1.63164171,13.2322,2.9916,FALSE,B,0.50831405,TRUE,2060,1,UE,womens
8,2,F,30.63059001,-0.336618808,1.682550737,8.171225168,FALSE,FALSE,3.396354499,13.696,1.9714,13.3358,1.4058,27.20933711,0.329302851,1.571821991,2.661019939,12.9246,1.4738,FALSE,B,0.616288331,FALSE,3564,1,UE,womens
6,1,F,34.38832276,0.743964141,0.241399518,1.680795053,FALSE,FALSE,1.620801592,12.6072,1.28,13.6488,0.0382,26.74603564,0.684256421,4.072662061,5.405999541,13.44,2.883,FALSE,F,0.593992089,FALSE,2240,1,W,womens
8,2,F,21.48770324,0.533911213,0.396262032,2.285562603,FALSE,TRUE,10.99996377,5.3294,2.202,14.288,4.181,13.72286536,0.906297093,1.62531229,8.290444814,11.0336,2.5862,FALSE,U,0.998907679,FALSE,4674,1,FE,womens
9,2,B,25.82049549,-0.066528122,2.783347885,5.460807121,FALSE,FALSE,2.883304729,10.8314,3.7202,12.5768,1.4252,21.06685586,0.579784009,1.764625009,7.135535789,6.9268,1.6696,FALSE,U,0.397138983,TRUE,1260,1,UE,womens
8,1,F,30.08195743,0.899963581,0.614105653,3.936901207,TRUE,FALSE,2.236229058,13.5338,1.0898,13.5224,1.1464,32.31742917,0.497253129,2.475852383,4.973607059,14.8544,1.0978,FALSE,F,0.544667159,FALSE,4568,1,UE,womens
10,1,B,24.65958051,0.183209394,1.114659144,7.417810883,TRUE,FALSE,1.793457822,11.6204,2.7008,12.4334,1.1022,21.00228558,0.539277806,1.082150582,2.739058341,9.1978,1.6436,FALSE,B,0.474260795,FALSE,205,1,FE,womens
