id,train,rally,serve,hitpoint,previous.hitpoint,crosscourt,U-previous.hitpoint,F-previous.hitpoint,F-hitpoint,speed,previous.speed,speed.difference,net.clearance,previous.net.clearance,net.clearance.difference,distance.from.sideline,outside.sideline,true.distance.from.sideline,depth,outside.baseline,true.distance.from.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,opponent.depth,opponent.distance.from.center,same.side,player.distance.from.each.other,previous.distance.from.sideline,previous.depth,previous.time.to.net,server.is.impact.player,outcome,gender
6847,1,5,2,V,F,FALSE,FALSE,TRUE,FALSE,24.33408463,33.17673833,-8.8426537,4.542863255,0.152264655,4.3905986,1.216872439,FALSE,1.216872439,3.789346482,FALSE,3.789346482,4.029722695,14.3162,2.9584,13.646,1.0152,8.5232,0.8714,FALSE,,1.163075624,5.10951887,0.264155385,TRUE,FE,mens
3824,1,13,2,F,B,FALSE,FALSE,FALSE,TRUE,23.14678352,21.87525799,1.27152553,4.486210323,0.166947087,4.319263236,3.06966363,FALSE,3.06966363,1.519085021,TRUE,-1.519085021,4.466161287,13.3036,2.437,15.2328,1.591,7.9894,3.4052,FALSE,,0.886805894,2.011984494,0.446980004,TRUE,FE,mens
3688,1,4,2,F,F,TRUE,FALSE,TRUE,TRUE,22.48248944,36.09409759,-13.61160815,4.484546636,0.39742484,4.087121796,1.311436268,TRUE,-1.311436268,2.197961466,TRUE,-2.197961466,4.458945584,15.6214,3.6196,13.542,0.3248,10.5826,0.4192,TRUE,,0.884962882,3.795252522,0.364279779,FALSE,FE,mens
7165,1,6,2,F,B,FALSE,FALSE,FALSE,TRUE,26.11958228,37.08635169,-10.96676941,4.404528647,1.243775634,3.160753013,2.191630836,FALSE,2.191630836,4.664620606,FALSE,4.664620606,2.800391751,13.213,3.1724,12.778,0.406,13.4042,1.1654,FALSE,,0.2787336,0.503307238,0.428047256,FALSE,FE,mens
7899,1,3,2,F,F,TRUE,FALSE,TRUE,TRUE,29.40779578,38.14615384,-8.73835806,4.396549658,0.443700044,3.952849614,3.338874799,FALSE,3.338874799,10.50029047,TRUE,-10.50029047,2.459158181,12.9068,2.597,12.0182,0.304,11.8594,1.9824,FALSE,,1.395185237,3.958925004,0.348199909,TRUE,FE,mens
9448,1,6,1,V,B,FALSE,FALSE,FALSE,FALSE,22.40787865,31.75237268,-9.34449403,4.371275168,0.289112588,4.08216258,1.772177596,FALSE,1.772177596,2.230773858,FALSE,2.230773858,5.590591972,16.3282,1.3494,15.071,4.098,10.6118,3.425,FALSE,,0.784582444,2.920678554,0.367314514,FALSE,FE,mens
9049,1,8,2,V,F,FALSE,FALSE,TRUE,FALSE,24.46897472,45.23922043,-20.77024571,4.366770132,0.581329499,3.785440633,0.828839379,FALSE,0.828839379,0.299127914,TRUE,-0.299127914,5.019326206,17.068,2.1614,15.6814,2.6626,15.3032,3.9768,FALSE,,0.653392321,2.675927562,0.396427473,FALSE,FE,mens
5413,1,6,1,V,F,FALSE,FALSE,TRUE,FALSE,21.38652952,35.74876514,-14.36223562,4.350688061,1.319268066,3.031419995,1.031126295,FALSE,1.031126295,4.150894043,FALSE,4.150894043,6.074046075,13.7248,2.843,13.1174,3.2006,14.998,1.2528,TRUE,,0.54127188,0.29724345,0.505632764,FALSE,FE,mens
4668,1,4,1,V,F,FALSE,FALSE,TRUE,FALSE,28.0400195,39.43261783,-11.39259833,4.340303581,0.857668195,3.482635386,0.630168195,FALSE,0.630168195,4.651095422,FALSE,4.651095422,3.314043391,14.152,4.0736,14.2498,0.761,11.9094,3.9778,FALSE,,0.694298088,2.101644843,0.353627431,FALSE,FE,mens
9392,1,4,1,F,F,TRUE,FALSE,TRUE,TRUE,24.50795539,33.61238647,-9.10443108,4.280510941,0.343458498,3.937052443,1.632407468,FALSE,1.632407468,0.835273498,TRUE,-0.835273498,3.492689903,14.8838,3.2836,14.0138,0.099,7.131,0.9516,FALSE,,1.143456373,2.652890175,0.278534704,FALSE,FE,mens
2881,1,4,2,B,F,FALSE,FALSE,TRUE,FALSE,24.68489705,22.44243544,2.24246161,4.227003478,0.661969521,3.565033957,0.795382291,FALSE,0.795382291,2.468662654,TRUE,-2.468662654,1.981836774,13.5958,2.441,11.8098,1.582,6.513,0.2378,TRUE,,1.172586723,0.302414251,0.300973745,FALSE,FE,mens
3893,1,4,1,B,F,FALSE,FALSE,TRUE,FALSE,19.46895603,32.19882273,-12.7298667,4.224249133,0.524043312,3.700205821,0.603530366,FALSE,0.603530366,0.680119657,TRUE,-0.680119657,5.732240469,15.9662,1.0828,13.1226,3.8944,8.4812,2.0932,FALSE,,1.140595081,1.164658481,0.277923709,FALSE,FE,mens
1382,1,4,2,V,F,FALSE,FALSE,TRUE,FALSE,28.16674194,41.23549943,-13.06875749,4.183200836,0.571175319,3.612025517,0.435191955,FALSE,0.435191955,4.146892323,FALSE,4.146892323,1.699415158,13.8688,2.4436,13.356,0.8234,11.9018,1.043,FALSE,,0.981126146,2.232984919,0.333045021,FALSE,FE,mens
3948,1,9,2,V,F,FALSE,FALSE,TRUE,FALSE,22.17306381,30.14070438,-7.96764057,4.182540944,0.481891368,3.700649576,0.58993949,FALSE,0.58993949,1.036916735,FALSE,1.036916735,5.967817243,15.942,2.3664,15.1062,3.5426,7.2292,1.5218,TRUE,,0.922248665,1.755153212,0.255147199,TRUE,FE,mens
8408,1,6,2,V,F,FALSE,FALSE,TRUE,FALSE,24.59872043,35.48636686,-10.88764643,4.182368884,0.613806232,3.568562652,1.647511616,FALSE,1.647511616,1.093827234,FALSE,1.093827234,4.672761179,17.404,3.4256,16.257,1.1042,10.5724,1.1176,TRUE,,0.709146055,1.072708457,0.325721575,FALSE,FE,mens
200,1,9,2,F,B,FALSE,FALSE,FALSE,TRUE,22.77908464,35.51398826,-12.73490362,4.134411696,0.346636878,3.787774818,1.876130961,TRUE,-1.876130961,4.29340463,FALSE,4.29340463,2.009423659,13.3432,1.9958,13.1594,0.0052,13.9602,2.475,FALSE,,1.205281654,3.132671561,0.461820921,TRUE,FE,mens
4572,1,3,1,V,B,FALSE,FALSE,FALSE,FALSE,18.96191194,27.19949886,-8.23758692,4.12341102,0.630295051,3.493115969,0.102041735,TRUE,-0.102041735,3.691500904,FALSE,3.691500904,2.223489915,11.6286,3.1194,11.0124,0.983,13.659,2.3678,FALSE,,0.671825889,4.993636389,0.596469034,TRUE,FE,mens
5062,1,11,2,U,F,FALSE,FALSE,TRUE,FALSE,27.4007971,37.20063206,-9.79983496,4.121777413,0.251078024,3.870699389,1.575709619,FALSE,1.575709619,1.301210501,TRUE,-1.301210501,2.632798914,16.6358,1.5432,15.6312,0.8904,9.6514,3.427,FALSE,,0.443540377,3.622138211,0.375318813,TRUE,FE,mens
645,1,5,2,V,F,FALSE,FALSE,TRUE,FALSE,22.42041268,42.06677039,-19.64635771,4.120280785,0.642100462,3.478180323,0.231592673,FALSE,0.231592673,1.678060576,FALSE,1.678060576,4.103007312,16.175,3.2366,14.9434,0.6772,11.508,1.68,TRUE,,0.492832849,0.738759834,0.314540525,TRUE,FE,mens
803,1,6,1,F,F,TRUE,FALSE,TRUE,TRUE,20.72179611,19.39339294,1.32840317,4.070743006,0.535431373,3.535311633,1.020760922,TRUE,-1.020760922,1.037626288,TRUE,-1.037626288,3.330857673,12.4938,1.4728,12.7338,1.8494,3.5548,0.5482,TRUE,,2.43679447,1.880506604,0.168196814,FALSE,FE,mens
3536,1,4,2,V,F,FALSE,FALSE,TRUE,FALSE,24.75045954,41.30775207,-16.55729253,4.038747906,0.481817423,3.556930483,0.712017968,FALSE,0.712017968,6.810052724,FALSE,6.810052724,2.259658824,15.6852,3.3398,15.2482,1.1228,13.8564,2.2734,FALSE,,0.6571694,2.704178704,0.403945192,FALSE,FE,mens
1557,1,3,1,B,F,FALSE,FALSE,TRUE,FALSE,20.2217673,36.08891661,-15.86714931,4.038290471,0.128209111,3.91008136,1.496642839,FALSE,1.496642839,0.432513596,TRUE,-0.432513596,2.978336509,12.4634,3.7764,11.2714,1.047,13.4616,1.5652,FALSE,,0.521176284,5.2873799,0.459706582,TRUE,FE,mens
6228,1,5,2,F,B,FALSE,FALSE,FALSE,TRUE,23.37183487,22.86430304,0.50753183,4.034705521,0.56900182,3.465703701,2.135846343,FALSE,2.135846343,0.18137361,TRUE,-0.18137361,3.244604783,12.9582,1.7938,13.2678,1.436,6.995,0.3028,FALSE,,1.750549714,1.888685497,0.319126829,TRUE,FE,mens
8642,1,4,1,V,F,FALSE,FALSE,TRUE,FALSE,17.56420408,29.91530425,-12.35110017,3.999260014,0.479337671,3.519922343,0.281511231,FALSE,0.281511231,1.211648538,TRUE,-1.211648538,4.51039761,16.5358,1.4624,13.5306,1.901,8.2662,3.7494,FALSE,,0.725619871,0.866557227,0.283877839,FALSE,FE,mens
770,1,4,1,B,F,FALSE,FALSE,TRUE,FALSE,19.90176782,37.64913782,-17.74737,3.97953388,0.515274777,3.464259103,2.181062522,FALSE,2.181062522,0.669467986,TRUE,-0.669467986,6.105729142,15.23,1.7722,13.014,3.9172,12.8492,1.2422,FALSE,,1.202317099,3.497243441,0.386432994,FALSE,FE,mens
2468,1,6,2,F,B,FALSE,FALSE,FALSE,TRUE,18.20272245,17.99014475,0.2125777,3.973426706,2.36461232,1.608814386,2.725078352,TRUE,-2.725078352,3.49979582,FALSE,3.49979582,12.09468612,13.6448,2.017,2.289,2.1456,8.4766,2.7074,TRUE,,2.834239544,0.231522212,0.582099718,FALSE,FE,mens
9099,1,3,2,B,B,TRUE,FALSE,FALSE,FALSE,18.79741882,33.95691782,-15.159499,3.958598667,0.593851674,3.364746993,0.402224415,TRUE,-0.402224415,3.557975505,FALSE,3.557975505,1.768396358,11.4338,3.1812,10.9256,1.4874,11.4526,4.5536,FALSE,,0.944745623,3.972261046,0.39650571,TRUE,FE,mens
2533,1,4,2,B,F,FALSE,FALSE,TRUE,FALSE,17.90027397,43.45032921,-25.55005524,3.936061105,0.35416755,3.581893555,1.527624949,TRUE,-1.527624949,4.189049785,FALSE,4.189049785,0.749674516,13.8874,3.4444,14.4546,2.9542,12.0056,4.8434,FALSE,,1.13778021,3.708276769,0.331893139,FALSE,FE,mens
7221,1,5,2,B,F,FALSE,FALSE,TRUE,FALSE,22.06577403,37.10672862,-15.04095459,3.929222408,0.730630832,3.198591576,1.753647873,FALSE,1.753647873,0.869262502,TRUE,-0.869262502,1.404301065,13.5568,2.9398,13.3296,1.554,11.6604,3.1886,FALSE,,0.646148611,1.177400264,0.407232717,TRUE,FE,mens
1154,1,4,1,F,F,TRUE,FALSE,TRUE,TRUE,19.83860875,34.37820968,-14.53960093,3.925055132,0.344511834,3.580543298,1.705465368,TRUE,-1.705465368,2.747257449,FALSE,2.747257449,0.421635008,11.8548,2.784,11.9826,2.3822,7.2952,0.8398,TRUE,,0.565493781,2.240125092,0.289134374,FALSE,FE,mens
1118,1,4,1,V,F,FALSE,FALSE,TRUE,FALSE,24.0741158,36.72257026,-12.64845446,3.906487838,0.858052695,3.048435143,1.113435459,FALSE,1.113435459,1.153165175,FALSE,1.153165175,5.192741434,15.5144,1.5388,13.8018,3.3634,13.4048,2.1234,FALSE,,1.428450492,0.284104204,0.43112861,FALSE,FE,mens
2966,1,13,1,F,B,FALSE,FALSE,FALSE,TRUE,22.62017135,21.19044947,1.42972188,3.894743124,2.836168015,1.058575109,1.743428133,FALSE,1.743428133,1.074162187,FALSE,1.074162187,9.015649776,13.4608,3.16,4.4966,2.1982,14.8316,2.9216,TRUE,,1.146996814,0.35368978,0.88275246,TRUE,FE,mens
4805,1,6,1,U,F,FALSE,FALSE,TRUE,FALSE,31.46360206,40.95228137,-9.48867931,3.880097746,0.42522598,3.454871766,2.04583456,FALSE,2.04583456,4.178865661,FALSE,4.178865661,2.427399044,14.8282,2.3782,14.1878,0.0368,13.1822,0.9272,FALSE,,1.927542254,2.55795969,0.366017359,FALSE,FE,mens
1399,1,11,1,B,F,FALSE,FALSE,TRUE,FALSE,18.95278186,28.27131234,-9.31853048,3.867856594,0.375948809,3.491907785,0.581231496,TRUE,-0.581231496,2.672040708,FALSE,2.672040708,6.756812787,14.7318,3.678,14.627,3.078,7.5966,0.0828,FALSE,,0.990524255,4.030226617,0.301070134,TRUE,FE,mens
3606,1,5,1,V,F,FALSE,FALSE,TRUE,FALSE,24.20912521,29.23980536,-5.03068015,3.852156984,0.289040196,3.563116788,0.77136657,TRUE,-0.77136657,0.114545866,TRUE,-0.114545866,5.405580853,15.9128,3.7286,14.0498,1.3458,9.3284,0.354,TRUE,,0.530115801,4.133613245,0.346162966,TRUE,FE,mens
180,1,7,2,V,B,FALSE,FALSE,FALSE,FALSE,24.24779194,33.37281689,-9.12502495,3.734787542,0.508233239,3.226554303,0.438419013,FALSE,0.438419013,1.261471009,TRUE,-1.261471009,4.603550304,15.648,2.076,13.3668,1.9226,9.948,1.8246,FALSE,,0.40231343,0.44471714,0.31417221,TRUE,FE,mens
4942,1,10,2,B,B,TRUE,FALSE,FALSE,FALSE,23.78267572,30.15041065,-6.36773493,3.683418998,0.242627276,3.440791722,0.98040838,FALSE,0.98040838,6.762145006,FALSE,6.762145006,6.819835884,14.8746,4.228,15.1518,2.5862,11.1188,1.5626,TRUE,,0.886143114,5.070574112,0.42523773,FALSE,FE,mens
8098,1,4,1,B,B,TRUE,FALSE,FALSE,FALSE,21.88704866,30.6726168,-8.78556814,3.652715077,0.177835692,3.474879385,2.567742579,FALSE,2.567742579,2.922188203,TRUE,-2.922188203,1.245644187,14.5342,0.9966,14.1622,0.1922,8.9988,3.2372,FALSE,,1.659554256,3.745067836,0.310135944,FALSE,FE,mens
4041,1,4,1,B,F,FALSE,FALSE,TRUE,FALSE,22.9631898,36.96291299,-13.99972319,3.64946863,0.48155907,3.16790956,2.10075195,FALSE,2.10075195,0.030265748,FALSE,0.030265748,4.708166628,16.027,3.0846,16.1224,1.6226,5.7692,3.2522,FALSE,,1.945256843,4.872728347,0.154782026,FALSE,FE,mens
4923,1,4,1,B,F,FALSE,FALSE,TRUE,FALSE,21.11368269,30.64671807,-9.53303538,3.634599379,0.411526692,3.223072687,0.704930058,TRUE,-0.704930058,1.059762424,FALSE,1.059762424,7.075417166,14.7956,2.8652,12.5698,3.851,10.927,0.2052,TRUE,,0.800357293,3.257391709,0.394436791,FALSE,FE,mens
4317,1,4,1,B,U,FALSE,TRUE,FALSE,FALSE,23.2491377,19.21259795,4.03653975,3.625051124,0.201971725,3.423079399,1.110995252,FALSE,1.110995252,0.744243206,TRUE,-0.744243206,6.56547523,12.3524,2.1582,12.2452,4.4064,7.3622,0.0858,TRUE,,2.099258512,3.673720038,0.403779316,FALSE,FE,mens
8782,1,5,1,F,F,TRUE,FALSE,TRUE,TRUE,25.57108655,42.35290628,-16.78181973,3.615396932,0.527818323,3.087578609,0.119970169,FALSE,0.119970169,2.214464597,TRUE,-2.214464597,2.176605844,13.3654,2.6854,12.6834,0.6184,14.2898,2.6524,FALSE,,1.454283402,2.142539319,0.388515117,TRUE,FE,mens
5813,1,10,1,F,F,TRUE,FALSE,TRUE,TRUE,24.6364264,35.32592044,-10.68949404,3.554265743,1.070070126,2.484195617,3.479622531,TRUE,-3.479622531,2.526092486,FALSE,2.526092486,3.080440728,13.4374,2.4484,12.6376,0.5264,13.3558,3.1396,TRUE,,1.048925773,0.725733142,0.447992879,FALSE,FE,mens
750,1,8,2,B,B,TRUE,FALSE,FALSE,FALSE,23.11704615,34.50210412,-11.38505797,3.553446204,0.398055549,3.155390655,0.040068039,FALSE,0.040068039,8.669737012,FALSE,8.669737012,2.733733074,14.3372,3.5454,15.1328,0.93,13.1542,1.183,FALSE,,0.445589689,2.725319817,0.435811142,FALSE,FE,mens
3445,1,4,2,F,F,TRUE,FALSE,TRUE,TRUE,19.14873668,35.30361637,-16.15487969,3.525947578,0.244706708,3.28124087,0.562102704,FALSE,0.562102704,0.019676914,FALSE,0.019676914,4.596113071,16.0456,3.6304,14.1,0.5336,11.7614,2.0256,FALSE,,0.516790013,5.458955022,0.375948304,FALSE,FE,mens
3334,1,3,2,F,B,FALSE,FALSE,FALSE,TRUE,26.77200157,32.94074505,-6.16874348,3.520110992,0.689286359,2.830824633,1.452139353,TRUE,-1.452139353,1.358641685,TRUE,-1.358641685,2.80780468,12.3482,3.7934,11.3216,1.18,11.8826,4.9118,FALSE,,0.942190928,3.503420815,0.422972961,TRUE,FE,mens
5271,1,4,1,V,F,FALSE,FALSE,TRUE,FALSE,22.85166265,33.17502237,-10.32335972,3.518728064,0.313613744,3.20511432,0.475072123,FALSE,0.475072123,0.140142671,TRUE,-0.140142671,1.124622265,15.7446,2.8398,15.0466,1.958,10.0444,0.5652,FALSE,,0.991112837,3.861648226,0.330608289,FALSE,FE,mens
7288,1,7,2,B,B,TRUE,FALSE,FALSE,FALSE,21.19130216,39.57833298,-18.38703082,3.502458487,0.277744525,3.224713962,1.289195569,FALSE,1.289195569,0.2683091,TRUE,-0.2683091,2.35542662,14.4968,2.0188,14.1384,0.3092,12.9016,1.076,FALSE,,1.014557707,3.403938336,0.370892033,TRUE,FE,mens
3458,1,4,1,B,F,FALSE,FALSE,TRUE,FALSE,22.71787316,42.21308389,-19.49521073,3.488504903,0.514272593,2.97423231,3.029392702,FALSE,3.029392702,2.967111712,TRUE,-2.967111712,0.994897563,14.0846,2.7446,13.8886,1.7692,13.1774,1.479,FALSE,,1.408326705,2.917920828,0.354856227,FALSE,FE,mens
4120,1,5,2,B,B,TRUE,FALSE,FALSE,FALSE,21.73303825,23.37583413,-1.64279588,3.48409864,0.376501207,3.107597433,3.391268895,FALSE,3.391268895,0.626171588,TRUE,-0.626171588,1.340364846,11.7496,1.892,12.9392,2.5096,6.7684,0.568,FALSE,,2.091290999,4.180112355,0.291545695,TRUE,FE,mens
7653,1,4,1,B,F,FALSE,FALSE,TRUE,FALSE,25.75852133,30.82805744,-5.06953611,3.463255127,0.96820751,2.495047617,0.832268356,FALSE,0.832268356,0.320920355,TRUE,-0.320920355,7.715472965,16.4968,2.5798,13.2516,4.42,10.5326,0.8468,TRUE,,1.013858727,0.531845287,0.366706683,FALSE,FE,mens
5610,1,9,2,F,F,TRUE,FALSE,TRUE,TRUE,20.97574727,29.58813306,-8.61238579,3.460437158,0.14547138,3.314965778,2.477847519,TRUE,-2.477847519,1.563315552,TRUE,-1.563315552,1.580733817,10.2524,1.0816,11.6196,0.2882,2.1612,1.708,TRUE,,1.680143852,3.139268714,0.079005432,TRUE,FE,mens
